openTime,open,high,low,close,Volume,closeTime,ema_20,ema_50,ema_100,ema_200
2026/6/28 2:00,60495.6,60547.3,60420.2,60537.8,1662.96,2026/6/28 2:59,60393.59,60355.52,60879.76,61819.55
2026/6/28 3:00,60537.9,60576.9,60050,60149.9,5900.77,2026/6/28 3:59,60370.39,60347.46,60865.31,61802.93
2026/6/28 4:00,60149.9,60283.4,60141.7,60272.8,1563.2,2026/6/28 4:59,60361.09,60344.53,60853.57,61787.71
2026/6/28 5:00,60272.8,60469.8,60108.9,60173.4,2727.9,2026/6/28 5:59,60343.22,60337.82,60840.11,61771.65
2026/6/28 6:00,60173.4,60230,59819.8,60204.3,4692.97,2026/6/28 6:59,60329.99,60332.58,60827.52,61756.05
2026/6/28 7:00,60204.3,60303.2,59913.9,60000.3,3651.42,2026/6/28 7:59,60298.59,60319.55,60811.13,61738.58
2026/6/28 8:00,60000.4,60168.7,59983.3,60125.1,1900.28,2026/6/28 8:59,60282.06,60311.93,60797.55,61722.52
2026/6/28 9:00,60125.1,60256.8,59950,60193,2439.44,2026/6/28 9:59,60273.58,60307.26,60785.58,61707.31
2026/6/28 10:00,60193.1,60314.3,60017.2,60121.2,2057.69,2026/6/28 10:59,60259.07,60299.97,60772.42,61691.52
2026/6/28 11:00,60121.2,60250.4,60121.2,60169.5,1454.94,2026/6/28 11:59,60250.54,60294.85,60760.48,61676.38
2026/6/28 12:00,60169.5,60205.4,60060,60108.1,1216.1,2026/6/28 12:59,60236.97,60287.53,60747.57,61660.77
2026/6/28 13:00,60108,60112.3,59714.8,59956.6,5438.2,2026/6/28 13:59,60210.27,60274.55,60731.9,61643.82
2026/6/28 14:00,59956.6,60020,59772.9,59970,2915.15,2026/6/28 14:59,60187.39,60262.61,60716.82,61627.16
2026/6/28 15:00,59970,60247.1,59965.8,60192.5,3433.22,2026/6/28 15:59,60187.88,60259.86,60706.43,61612.89
2026/6/28 16:00,60192.4,60543.3,60109.5,60340.1,4910.2,2026/6/28 16:59,60202.37,60263,60699.18,61600.22
2026/6/28 17:00,60340.1,60444,60223.1,60230,2760.37,2026/6/28 17:59,60205,60261.71,60689.89,61586.59
2026/6/28 18:00,60230,60271.8,60037,60138.5,2477.14,2026/6/28 18:59,60198.67,60256.88,60678.97,61572.18
2026/6/28 19:00,60138.4,60351.3,60091.4,60314.9,2495.8,2026/6/28 19:59,60209.74,60259.15,60671.76,61559.67
2026/6/28 20:00,60315,60435.8,60161.2,60270,2227.61,2026/6/28 20:59,60215.48,60259.58,60663.8,61546.84
2026/6/28 21:00,60269.9,60269.9,59934.3,60044.5,4290.32,2026/6/28 21:59,60199.2,60251.14,60651.54,61531.89
2026/6/28 22:00,60044.6,60228.5,59983,59995.3,2937.39,2026/6/28 22:59,60179.78,60241.11,60638.55,61516.6
2026/6/28 23:00,59995.3,60103.2,59781.8,59849.9,5771.03,2026/6/28 23:59,60148.36,60225.77,60622.93,61500.01
2026/6/29 0:00,59850,59915.7,59550,59655.9,7424.56,2026/6/29 0:59,60101.46,60203.42,60603.78,61481.67
2026/6/29 1:00,59655.9,59821.9,59366.6,59557.3,8401.92,2026/6/29 1:59,60049.63,60178.08,60583.06,61462.52
2026/6/29 2:00,59557.3,59678.8,59466.9,59580.7,3170.96,2026/6/29 2:59,60004.97,60154.66,60563.21,61443.79
2026/6/29 3:00,59580.7,59658.2,59224.6,59451.4,5640.91,2026/6/29 3:59,59952.25,60127.08,60541.19,61423.97
2026/6/29 4:00,59451.3,59747.7,59443.8,59634,4223.37,2026/6/29 4:59,59921.94,60107.74,60523.23,61406.16
